Start,End,Duration,Number of events,Services involved
2024-04-24 09:04:50,2024-04-24 09:08:29,0:03:39,14,YouTube
2024-04-24 09:04:51,2024-04-24 09:08:29,0:03:38,13,YouTube
2024-04-24 09:04:56,2024-04-24 09:08:29,0:03:33,12,YouTube
2024-04-24 09:04:59,2024-04-24 09:08:29,0:03:30,11,YouTube
2024-04-24 09:05:45,2024-04-24 09:08:29,0:02:44,10,YouTube
2024-04-24 09:06:14,2024-04-24 09:08:29,0:02:15,9,YouTube
2024-04-24 09:07:19,2024-04-24 09:08:29,0:01:10,8,YouTube
2024-04-24 09:07:30,2024-04-24 09:08:29,0:00:59,7,YouTube
2024-04-24 09:07:59,2024-04-24 09:08:29,0:00:30,6,YouTube
2024-04-24 09:08:02,2024-04-24 09:08:29,0:00:27,5,YouTube
2024-04-24 09:08:03,2024-04-24 09:08:29,0:00:26,4,YouTube
2024-04-24 09:08:05,2024-04-24 09:08:29,0:00:24,3,YouTube
2024-04-24 09:33:00,2024-04-24 09:34:22,0:01:22,15,Hotels; Maps; Search
2024-04-24 09:33:07,2024-04-24 09:34:22,0:01:15,14,Hotels; Maps; Search
2024-04-24 09:33:08,2024-04-24 09:34:22,0:01:14,13,Hotels; Maps
2024-04-24 09:33:11,2024-04-24 09:34:22,0:01:11,12,Hotels; Maps
2024-04-24 09:33:57,2024-04-24 09:34:22,0:00:25,11,Maps
2024-04-24 09:33:57,2024-04-24 09:34:22,0:00:25,10,Maps
2024-04-24 09:33:57,2024-04-24 09:34:22,0:00:25,9,Maps
2024-04-24 09:33:57,2024-04-24 09:34:22,0:00:25,8,Maps
2024-04-24 09:33:57,2024-04-24 09:34:22,0:00:25,7,Maps
2024-04-24 09:33:57,2024-04-24 09:34:22,0:00:25,6,Maps
2024-04-24 09:33:57,2024-04-24 09:34:22,0:00:25,5,Maps
